source_id,title,author_editor,year,identifier,institution,date_accessed,license,obtained,source_kind,refs,disagreements,checksum,rq,temporal_tier,priority,notes
SRC-KOMELHETAN-EDEL,Die Ortsnamenlisten im noerdlichen Saeulenhof des Totentempels Amenophis' III,Edel E. & Goerg M.,2005,ISBN-verify,Harrassowitz,,copyright,none,edition,Aegean list rows (Keftiu/Tanaja block); verify plate/line nos,"recarving on parts; some IDs (Phaistos/Kydonia) contested",,RQ2,C,BLOCKING,"Primary edition of the Amenhotep III Aegean toponym list (Kom el-Hetan). Needs hieroglyphic spellings + editorial variants for Knossos/Amnisos/Lyktos(/Siteia?)."
SRC-KOMELHETAN-CLINE,Sailing the Great Green Sea? Amenhotep III's 'Aegean List',Cline E. & Stannish S.,2011,JAEI-3-2,Journal of Ancient Egyptian Interconnections,2026-07-06,open,none,secondary,pp on the Aegean list identifications,identification debates summarized,,RQ2,C,HIGH,"Open analysis; corroborates IDs and recarving caveats. Pull for identification_confidence."
SRC-EA5647,Writing-board with 'names of the Keftiu' (hieratic),British Museum / primary ed. verify,NA,Y_EA5647,British Museum,2026-07-06,catalogue-metadata,metadata,catalogue,object page; heading 'making the names of the Keftiw' + personal names,"linguistic identity (Minoan vs Greek) of the names contested; date LM II-IIIA",,RQ3,D,HIGH,"BM catalogue metadata obtainable; primary edition with hieratic + transliteration + editorial alternatives BLOCKING."
SRC-EA10059,London Medical Papyrus (contains Keftiu spells),British Museum / Leitz ed.,1999,Y_EA10059,British Museum,2026-07-06,catalogue-metadata,metadata,edition,the two Keftiu-language spells,"voces magicae distortion; coherence of the 'Keftiu' strings disputed",,RQ4,C,USEFUL,"Leitz Magical and Medical Papyri (HPBM VII) is the standard edition. Exploratory phonology only."
SRC-MARI-ARM-KAPTARA,Archives royales de Mari — Kaptara attestations (tin route / interpreter / goods),Dossin/Durand et al.,various,ARM-verify,CDLI/primary,2026-07-06,mixed,none,edition,"tin-to-Kaptara-merchant text; targum/interpreter payment; Kaptarite goods",which ARM volumes/texts precisely,,RQ1;RQ5,A,HIGH,"MM II-III contemporary with earlier Linear A. Semantic (goods/roles) high value; phonetics low. Identify exact ARM texts."
SRC-UGARIT-KTU-KPTR,Ugaritic kptr / Caphtor attestations,Dietrich-Loretz-Sanmartin (KTU/CAT),2013,KTU3-verify,primary,2026-07-06,copyright,none,edition,kptr as Kothar-wa-Hasis abode + related,geographic scope of kptr,,RQ1;RQ6,B,USEFUL,"Provides external toponym + cultural context; not a Minoan word corpus."
SRC-REKHMIRE-TT100,Tomb of Rekhmire (TT100) — Keftiu gift-bearers scene + labels,Davies N. de G.,1943,TT100,MMA facsimiles,2026-07-06,mixed,metadata,catalogue,Keftiu bearers; commodities (metal ingots, vessels),identity 'Keftiu vs islanders' label recut,,RQ1,B,USEFUL,"Semantic/ontology (export commodities). MMA has Davies facsimile records."
SRC-LINEARA-OFFCRETE,Linear A / Cretan writing found outside Crete,GORILA / SigLA / Cambridge overviews,various,verify-per-find,various,2026-07-06,mixed,none,secondary,"Kea, Thera, Miletus, mainland finds; merchant marks/labels",which items are Linear A vs Cypro-Minoan vs marks,,RQ1;RQ3,A,USEFUL,"Cross-ref against the read-only LA corpus; most are short/damaged."
SRC-PREGREEK-BEEKES,Pre-Greek: Phonology, Morphology, Lexicon,Beekes R.,2014,ISBN-verify,Brill,,copyright,none,secondary,pre-Greek substrate toponymy/onomastics,pre-Greek reconstruction is itself contested,,RQ5,C,OPTIONAL,"Substrate comparator for E8 only; not an anchor source."
SRC-ADNA-LAZARIDIS2017,Genetic origins of the Minoans and Mycenaeans,Lazaridis I. et al.,2017,10.1038/nature23310,Nature,2026-07-06,open-abstract,metadata,secondary,Minoan/Mycenaean sample ancestry,genes!=language,,RQ6,A,USEFUL,"Weak population prior only. aDNA table extractable from supplement."
